class,policy,reward,seed,stage,win,turns,hp,max_hp,hp_spent,hp_restored,cards_drawn,casts,deck_size,timeout
tide,greedy,skip,10050,3,1,10,15,30,0,65,0,18,20,0
tide,greedy,skip,10050,4,0,5,0,30,0,15,0,8,20,0
tide,greedy,skip,10051,0,1,3,26,30,0,0,0,4,20,0
tide,greedy,skip,10051,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10051,2,1,5,11,30,0,5,0,8,20,0
tide,greedy,skip,10051,3,1,10,20,30,0,66,0,18,20,0
tide,greedy,skip,10051,4,1,8,8,30,0,48,0,14,20,0
tide,greedy,skip,10052,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10052,1,1,2,23,30,0,0,0,4,20,0
tide,greedy,skip,10052,2,1,6,14,30,0,16,0,10,20,0
tide,greedy,skip,10052,3,1,8,12,30,0,44,0,14,20,0
tide,greedy,skip,10052,4,0,5,0,30,0,12,0,7,20,0
tide,greedy,skip,10053,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10053,1,1,3,21,30,0,5,0,5,20,0
tide,greedy,skip,10053,2,1,6,14,30,0,16,0,10,20,0
tide,greedy,skip,10053,3,1,8,11,30,0,39,0,13,20,0
tide,greedy,skip,10053,4,1,8,2,30,0,40,0,13,20,0
tide,greedy,skip,10054,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10054,1,1,3,23,30,0,2,0,5,20,0
tide,greedy,skip,10054,2,1,5,22,30,0,16,0,8,20,0
tide,greedy,skip,10054,3,1,7,23,30,0,39,0,14,20,0
tide,greedy,skip,10054,4,1,7,13,30,0,34,0,11,20,0
tide,greedy,skip,10055,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10055,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10055,2,1,5,13,30,0,7,0,8,20,0
tide,greedy,skip,10055,3,1,8,8,30,0,36,0,15,20,0
tide,greedy,skip,10055,4,1,11,5,30,0,79,0,19,20,0
tide,greedy,skip,10056,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10056,1,1,3,21,30,0,0,0,4,20,0
tide,greedy,skip,10056,2,1,5,19,30,0,13,0,9,20,0
tide,greedy,skip,10056,3,1,9,13,30,0,55,0,16,20,0
tide,greedy,skip,10056,4,0,6,0,30,0,29,0,9,20,0
tide,greedy,skip,10057,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10057,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10057,2,1,6,16,30,0,18,0,10,20,0
tide,greedy,skip,10057,3,1,8,10,30,0,36,0,14,20,0
tide,greedy,skip,10057,4,1,8,9,30,0,46,0,13,20,0
tide,greedy,skip,10058,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10058,1,1,4,23,30,0,14,0,6,20,0
tide,greedy,skip,10058,2,1,5,14,30,0,8,0,7,20,0
tide,greedy,skip,10058,3,1,8,12,30,0,42,0,14,20,0
tide,greedy,skip,10058,4,1,5,4,30,0,10,0,6,20,0
tide,greedy,skip,10059,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10059,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10059,2,1,5,14,30,0,8,0,8,20,0
tide,greedy,skip,10059,3,1,10,13,30,0,61,0,19,20,0
tide,greedy,skip,10059,4,1,12,2,30,0,89,0,20,20,0
tide,greedy,skip,10060,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10060,1,1,4,21,30,0,12,0,6,20,0
tide,greedy,skip,10060,2,1,5,19,30,0,13,0,8,20,0
tide,greedy,skip,10060,3,1,6,8,30,0,20,0,10,20,0
tide,greedy,skip,10060,4,1,7,14,30,0,33,0,11,20,0
tide,greedy,skip,10061,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10061,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10061,2,1,5,19,30,0,13,0,8,20,0
tide,greedy,skip,10061,3,1,9,12,30,0,54,0,16,20,0
tide,greedy,skip,10061,4,1,9,4,30,0,52,0,14,20,0
tide,greedy,skip,10062,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10062,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10062,2,1,6,22,30,0,24,0,10,20,0
tide,greedy,skip,10062,3,1,8,13,30,0,45,0,14,20,0
tide,greedy,skip,10062,4,0,5,0,30,0,16,0,7,20,0
tide,greedy,skip,10063,0,1,3,26,30,0,0,0,3,20,0
tide,greedy,skip,10063,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10063,2,1,6,13,30,0,15,0,9,20,0
tide,greedy,skip,10063,3,1,8,10,30,0,44,0,14,20,0
tide,greedy,skip,10063,4,1,6,1,30,0,15,0,9,20,0
tide,greedy,skip,10064,0,1,3,26,30,0,0,0,4,20,0
tide,greedy,skip,10064,1,1,3,17,30,0,0,0,4,20,0
tide,greedy,skip,10064,2,1,6,13,30,0,15,0,9,20,0
tide,greedy,skip,10064,3,1,8,9,30,0,39,0,14,20,0
tide,greedy,skip,10064,4,1,9,4,30,0,55,0,14,20,0
tide,greedy,skip,10065,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10065,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10065,2,1,6,13,30,0,15,0,9,20,0
tide,greedy,skip,10065,3,1,8,10,30,0,44,0,14,20,0
tide,greedy,skip,10065,4,1,10,1,30,0,61,0,16,20,0
tide,greedy,skip,10066,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10066,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10066,2,1,4,14,30,0,0,0,6,20,0
tide,greedy,skip,10066,3,1,8,9,30,0,33,0,14,20,0
tide,greedy,skip,10066,4,1,5,4,30,0,10,0,6,20,0
tide,greedy,skip,10067,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10067,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10067,2,1,5,14,30,0,8,0,8,20,0
tide,greedy,skip,10067,3,1,10,16,30,0,62,0,18,20,0
tide,greedy,skip,10067,4,0,6,0,30,0,28,0,9,20,0
tide,greedy,skip,10068,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10068,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10068,2,1,6,16,30,0,18,0,9,20,0
tide,greedy,skip,10068,3,1,9,9,30,0,51,0,16,20,0
tide,greedy,skip,10068,4,1,7,13,30,0,34,0,10,20,0
tide,greedy,skip,10069,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10069,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10069,2,1,5,13,30,0,7,0,8,20,0
tide,greedy,skip,10069,3,1,10,13,30,0,57,0,18,20,0
tide,greedy,skip,10069,4,0,8,0,30,0,51,0,13,20,0
tide,greedy,skip,10070,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10070,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10070,2,1,6,13,30,0,15,0,10,20,0
tide,greedy,skip,10070,3,1,10,19,30,0,65,0,18,20,0
tide,greedy,skip,10070,4,1,6,4,30,0,15,0,8,20,0
tide,greedy,skip,10071,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10071,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10071,2,1,5,18,30,0,12,0,8,20,0
tide,greedy,skip,10071,3,1,10,15,30,0,65,0,18,20,0
tide,greedy,skip,10071,4,1,6,3,30,0,23,0,8,20,0
tide,greedy,skip,10072,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10072,1,1,4,16,30,0,7,0,5,20,0
tide,greedy,skip,10072,2,1,5,14,30,0,8,0,7,20,0
tide,greedy,skip,10072,3,1,10,22,30,0,72,0,19,20,0
tide,greedy,skip,10072,4,1,5,4,30,0,10,0,7,20,0
tide,greedy,skip,10073,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10073,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10073,2,1,5,14,30,0,8,0,8,20,0
tide,greedy,skip,10073,3,1,8,8,30,0,38,0,13,20,0
tide,greedy,skip,10073,4,0,8,0,30,0,51,0,13,20,0
tide,greedy,skip,10074,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10074,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10074,2,1,5,19,30,0,13,0,9,20,0
tide,greedy,skip,10074,3,1,9,18,30,0,60,0,17,20,0
tide,greedy,skip,10074,4,0,7,0,30,0,45,0,12,20,0
tide,greedy,skip,10075,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10075,1,1,2,23,30,0,0,0,4,20,0
tide,greedy,skip,10075,2,1,6,14,30,0,16,0,10,20,0
tide,greedy,skip,10075,3,1,9,11,30,0,51,0,16,20,0
tide,greedy,skip,10075,4,1,7,9,30,0,32,0,10,20,0
tide,greedy,skip,10076,0,1,2,28,30,0,0,0,3,20,0
tide,greedy,skip,10076,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10076,2,1,5,11,30,0,5,0,8,20,0
tide,greedy,skip,10076,3,1,8,8,30,0,36,0,14,20,0
tide,greedy,skip,10076,4,1,8,14,30,0,46,0,13,20,0
tide,greedy,skip,10077,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10077,1,1,4,9,30,0,0,0,5,20,0
tide,greedy,skip,10077,2,1,5,18,30,0,12,0,8,20,0
tide,greedy,skip,10077,3,1,9,14,30,0,52,0,16,20,0
tide,greedy,skip,10077,4,1,8,11,30,0,45,0,13,20,0
tide,greedy,skip,10078,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10078,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10078,2,1,6,13,30,0,15,0,10,20,0
